effect,aggregation_axis,group,macro_mse_gain_percent,macro_mae_gain_percent,cell_wins,cells
architecture_main_effect,dataset,ETTh1,1.4796782834826494,1.6343109333552024,3,4
architecture_main_effect,dataset,ETTh2,1.9190883396474927,1.4493424920393663,4,4
architecture_main_effect,dataset,ETTm1,-0.6620880900043388,-0.4091759854416557,0,4
architecture_main_effect,dataset,ETTm2,-13.959440784119248,-9.601903704310924,1,4
architecture_main_effect,dataset,Weather,-0.5319198559699442,-1.1457887074727575,0,4
architecture_main_effect,horizon,96,-6.3186274611825395,-3.4793506354772767,2,5
architecture_main_effect,horizon,192,-2.6026545948180795,-1.7913871861616624,2,5
architecture_main_effect,horizon,336,-1.0522163755196456,-1.0511929987704065,2,5
architecture_main_effect,horizon,720,0.5697527459495537,-0.13664115705526989,2,5
mcca_main_effect,dataset,ETTh1,-0.19509797895475717,-0.5211892033910135,2,4
mcca_main_effect,dataset,ETTh2,-0.08695387363479024,-0.1257574615671858,0,4
mcca_main_effect,dataset,ETTm1,0.09329316689192096,0.07386039571479486,3,4
mcca_main_effect,dataset,ETTm2,-0.48666655255095725,-0.4184896883042494,0,4
mcca_main_effect,dataset,Weather,-0.0033225128079364397,-0.04579930217470801,2,4
mcca_main_effect,horizon,96,-0.5210130484299336,-0.4812247408369863,1,5
mcca_main_effect,horizon,192,-0.04487929876442198,-0.1787762967603279,3,5
mcca_main_effect,horizon,336,0.13567996119863146,-0.026773366549244226,3,5
mcca_main_effect,horizon,720,-0.11278581484949202,-0.14312580363133098,0,5
architecture_equal,dataset,ETTh1,1.8282197824720625,2.1407802139443683,3,4
architecture_equal,dataset,ETTh2,2.162623094395491,1.563046418731967,4,4
architecture_equal,dataset,ETTm1,-0.8006663892110966,-0.497204841748522,0,4
architecture_equal,dataset,ETTm2,-14.261654871044296,-9.782211674478587,1,4
architecture_equal,dataset,Weather,-0.8768739851624352,-2.0091143952893855,0,4
architecture_equal,horizon,96,-6.307167367016555,-3.6459609165305373,2,5
architecture_equal,horizon,192,-2.7118486018300647,-1.9264247677502102,2,5
architecture_equal,horizon,336,-1.050538681599651,-1.0763171446985065,2,5
architecture_equal,horizon,720,0.510872755606051,-0.21906059409287248,2,5
architecture_pcc,dataset,ETTh1,1.2443936703966874,1.7230162462377185,2,4
architecture_pcc,dataset,ETTh2,1.8928231026249436,1.424972458909099,4,4
architecture_pcc,dataset,ETTm1,-0.809313369110104,-0.5416484607276839,0,4
architecture_pcc,dataset,ETTm2,-13.406746492751607,-9.139042447027284,1,4
architecture_pcc,dataset,Weather,-0.4172234977023237,-0.7286314522670256,0,4
architecture_pcc,horizon,96,-5.885297631871952,-3.012323808418269,2,5
architecture_pcc,horizon,192,-2.5941072846664315,-1.6397477999092502,2,5
architecture_pcc,horizon,336,-1.2833403264124854,-1.1015594794147332,1,5
architecture_pcc,horizon,720,0.5658919737169454,-0.05543583615788883,2,5
architecture_mcca,dataset,ETTh1,1.3664213975791983,1.03913633988352,3,4
architecture_mcca,dataset,ETTh2,1.7018188219220436,1.3600085984770334,4,4
architecture_mcca,dataset,ETTm1,-0.37628451169181565,-0.18867465384876103,0,4
architecture_mcca,dataset,ETTm2,-14.209920988561839,-9.884456991426905,1,4
architecture_mcca,dataset,Weather,-0.3016620850450735,-0.6996202748618618,0,4
architecture_mcca,horizon,96,-6.76341738465911,-3.7797671814830247,2,5
architecture_mcca,horizon,192,-2.502007897957743,-1.8079889908255267,2,5
architecture_mcca,horizon,336,-0.8227701185468006,-0.9757023721979796,2,5
architecture_mcca,horizon,720,0.6324935085256644,-0.1354270409150482,2,5
mcca_pcsd,dataset,ETTh1,-0.23490152173328283,-0.16280813576264874,0,4
mcca_pcsd,dataset,ETTh2,0.010660644265308994,-0.09272773965668946,3,4
mcca_pcsd,dataset,ETTm1,-0.12141284421361975,-0.10188315960146244,0,4
mcca_pcsd,dataset,ETTm2,-0.17507035690987882,-0.0925692056261751,0,4
mcca_pcsd,dataset,Weather,-0.060866259151781676,-0.060054748831539495,0,4
mcca_pcsd,horizon,96,-0.12685763773079506,-0.11376019989196795,1,5
mcca_pcsd,horizon,192,-0.10128335607648475,-0.10057385193170898,1,5
mcca_pcsd,horizon,336,-0.0911367877115854,-0.09070188277431779,1,5
mcca_pcsd,horizon,720,-0.14599448867573805,-0.10299845698481747,0,5
mcca_siff,dataset,ETTh1,-0.1552944361762315,-0.8795702710193781,3,4
mcca_siff,dataset,ETTh2,-0.18456839153488946,-0.15878718347768217,0,4
mcca_siff,dataset,ETTm1,0.3079991779974617,0.24960395103105215,3,4
mcca_siff,dataset,ETTm2,-0.7982627481920357,-0.7444101709823236,0,4
mcca_siff,dataset,Weather,0.0542212335359088,-0.03154385551787653,3,4
mcca_siff,horizon,96,-0.9151684591290721,-0.8486892817820046,2,5
mcca_siff,horizon,192,0.01152475854764079,-0.25697874158894685,3,5
mcca_siff,horizon,336,0.3624967101088483,0.037155149675829335,3,5
mcca_siff,horizon,720,-0.07957714102324598,-0.1832531502778445,1,5
joint_over_a6,dataset,ETTh1,0.1277694162279297,-0.6422164314649259,2,4
joint_over_a6,dataset,ETTh2,4.8664344943214894,2.270116224974583,4,4
joint_over_a6,dataset,ETTm1,3.256337884325031,2.1002097299620353,4,4
joint_over_a6,dataset,ETTm2,-15.859316021400824,-9.878687988499834,1,4
joint_over_a6,dataset,Weather,0.9462663004990379,1.2137532994395628,3,4
joint_over_a6,horizon,96,-4.604537359205271,-2.416226287004366,4,5
joint_over_a6,horizon,192,-1.4180998554221371,-1.0489733635661727,4,5
joint_over_a6,horizon,336,-0.19484342194939108,-0.5017229285205316,3,5
joint_over_a6,horizon,720,0.8874742957549309,0.017462446620206684,3,5
ordered_over_constant,dataset,ETTh1,1.7217517187415625,0.5511284306433023,4,4
ordered_over_constant,dataset,ETTh2,1.0109060056641805,0.6797359699615951,4,4
ordered_over_constant,dataset,ETTm1,0.6884706118977596,0.6114537890919952,4,4
ordered_over_constant,dataset,ETTm2,-12.62446002782535,-8.801731553157595,1,4
ordered_over_constant,dataset,Weather,0.23626167528570108,0.3379696128711557,3,4
ordered_over_constant,horizon,96,-5.790913394038914,-3.3545302528025127,4,5
ordered_over_constant,horizon,192,-1.7219505928976453,-1.3049052534657755,4,5
ordered_over_constant,horizon,336,-0.13595238081428596,-0.4671792305207667,4,5
ordered_over_constant,horizon,720,0.47516035476192764,-0.17054026368258146,4,5
ordered_over_permuted,dataset,ETTh1,0.3496577926923067,-0.6006750507056791,2,4
ordered_over_permuted,dataset,ETTh2,1.024301385387469,0.42090690208766435,4,4
ordered_over_permuted,dataset,ETTm1,0.5244064917684421,0.2893446607654476,4,4
ordered_over_permuted,dataset,ETTm2,3.654059236344029,2.184699405960125,4,4
ordered_over_permuted,dataset,Weather,0.2850076199102075,0.31872249848929335,4,4
ordered_over_permuted,horizon,96,1.6194678042308475,0.6742465429824462,4,5
ordered_over_permuted,horizon,192,1.3992594280484916,0.5990843377570343,5,5
ordered_over_permuted,horizon,336,1.2823198772821232,0.6277671439921817,5,5
ordered_over_permuted,horizon,720,0.368898911320501,0.1893007085458187,4,5
ordered_over_q1_width,dataset,ETTh1,0.3075040905374249,-0.3425088423942346,2,4
ordered_over_q1_width,dataset,ETTh2,1.1605561272091225,1.6925816738982387,4,4
ordered_over_q1_width,dataset,ETTm1,1.9387588345270963,1.4926561303147317,4,4
