effect,macro_mse_gain_percent,macro_mae_gain_percent,cell_wins,cells,dataset_wins,datasets,worst_dataset,worst_dataset_mse_gain_percent
architecture_main_effect,-2.3509364213926776,-1.614642994366154,8,20,2,5,ETTm2,-13.959440784119248
mcca_main_effect,-0.13574955021130403,-0.20747505194447236,7,20,1,5,ETTm2,-0.48666655255095725
architecture_equal,-2.389670473710055,-1.7169408557680317,8,20,2,5,ETTm2,-14.261654871044296
architecture_pcc,-2.2992133173084808,-1.4522667309750354,7,20,2,5,ETTm2,-13.406746492751607
architecture_mcca,-2.3639254731594974,-1.6747213963553949,8,20,2,5,ETTm2,-14.209920988561839
mcca_pcsd,-0.11631806754865082,-0.10200859789570305,3,20,1,5,ETTh1,-0.23490152173328283
mcca_siff,-0.15518103287395724,-0.31294150599324166,9,20,2,5,ETTm2,-0.7982627481920357
joint_over_a6,-1.3325015852054671,-0.9873650331177158,14,20,4,5,ETTm2,-15.859316021400824
ordered_over_constant,-1.7934140032472294,-1.324288750117909,16,20,4,5,ETTm2,-12.62446002782535
ordered_over_permuted,1.1674865052204908,0.5225996833193702,18,20,5,5,Weather,0.2850076199102075
ordered_over_q1_width,-2.1082355459069335,-1.320903178446119,11,20,3,5,ETTm2,-13.687982907942489
ordered_over_independent,-3.175631607555298,-2.2686033446795797,8,20,2,5,ETTm2,-16.371888048527826
ordered_over_dense,1.7580273035706817,0.033234788852928986,16,20,4,5,ETTm2,-14.908446398942221
transport_over_pointwise,0.5242528353023751,0.3622846015085007,16,20,4,5,Weather,-0.207467250049731
capability_over_uniform_ot,0.1361267229119456,0.11851493638843191,20,20,5,5,Weather,0.02284538082842902
