category,case,value,threshold,pass
SIFF_basis,constant_component,0.0,1e-12,True
SIFF_basis,linear_zero_mean,1.554312234475219e-16,1e-12,True
SIFF_basis,linear_unit_rms,0.0,1e-12,True
SIFF_shape,forward_contract,"(2, 3, 5, 720)","[2,3,5,720]",True
SIFF_shape,projective_prefix,0.0,0.0,True
SIFF_containment,q1_equals_pcsd,0.0,1e-10,True
SIFF_controls,constant_collapses_to_single_field,3.552713678800501e-15,1e-10,True
SIFF_controls,permuted_preserves_values,0.0,0.0,True
SIFF_controls,permuted_changes_order,2.8404403986412503,>0,True
SIFF_controls,independent_one_hot,0.0,0.0,True
SIFF_containment,a6_exact_subspace,0.0,1e-10,True
parameter_match,ETTh1_q1,0.0008887611224727958,0.005,True
parameter_match,ETTh1_independent,0.0024645469209554575,0.005,True
parameter_match,ETTh2_q1,0.0008480538128692166,0.005,True
parameter_match,ETTh2_independent,0.0038385593635132964,0.005,True
parameter_match,ETTm1_q1,0.0008480538128692166,0.005,True
parameter_match,ETTm1_independent,0.0038385593635132964,0.005,True
parameter_match,ETTm2_q1,0.0003140203430184363,0.005,True
parameter_match,ETTm2_independent,0.0007770672895032491,0.005,True
parameter_match,Weather_q1,0.0008480538128692166,0.005,True
parameter_match,Weather_independent,0.0038385593635132964,0.005,True
MCCA_solver,marginals_float64,1.1102230246251565e-16,1e-09,True
MCCA_solver,credit_simplex_float64,1.9984014443252818e-15,1e-09,True
MCCA_solver,marginals_float32,4.470348358154297e-08,2e-05,True
MCCA_solver,credit_simplex_float32,1.6689300537109375e-06,2e-05,True
MCCA_same_mass,pcc_column_mass_progress_0.0,0.0,1e-07,True
MCCA_same_mass,pcc_column_mass_progress_0.125,2.7755575615628914e-17,1e-07,True
MCCA_same_mass,kl_projection_advantage_0.125,0.00288218144787251,1e-06,True
MCCA_same_mass,pcc_column_mass_progress_0.25,2.7755575615628914e-17,1e-07,True
MCCA_same_mass,kl_projection_advantage_0.25,0.020926780003638717,1e-06,True
MCCA_same_mass,pcc_column_mass_progress_1.0,2.7755575615628914e-17,1e-07,True
MCCA_same_mass,kl_projection_advantage_1.0,0.020926780003638717,1e-06,True
MCCA_gradient,finite_loss,2.169771432876587,finite,True
MCCA_gradient,arm_gradient,0.09209159016609192,1e-10,True
MCCA_gradient,policy_gradient,0.040933988988399506,1e-10,True
MCCA_gradient,minimum_scope_mass,0.14329269528388977,0.04,True
