dataset,checkpoint_seed,family,covariance_offdiag_ratio,variance_capture_top16,variance_capture_top64,mean_atom_support_fraction,active_atoms_h48,active_atoms_h96,active_atoms_h144,active_atoms_h192,active_atoms_h288,active_atoms_h336,active_atoms_h512,active_atoms_h720
ETTh1,2021,balanced_interval,0.41920908851023314,0.5907760083495146,0.7462764182779059,0.014691358432173729,55.0,103.0,149.0,199.0,293.0,339.0,516.0,720.0
ETTh1,2021,block_dct2_b144,0.7983706754720991,0.6494557975329357,0.8446887999259499,0.19907407462596893,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTh1,2021,block_dct2_b16,0.9643092339089147,0.33607551908041366,0.7450980898683707,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTh1,2021,block_dct2_b32,0.9410929418388415,0.5067533747296489,0.779675899098967,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTh1,2021,block_dct2_b48,0.9172117782885493,0.5931824772588853,0.7997753366942888,0.06620370596647263,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTh1,2021,block_dct2_b96,0.8651781964526819,0.6216326246190298,0.8288448214906342,0.12842592597007751,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTh1,2021,block_pca_fit_b144,0.794466916946282,0.6721907652312701,0.8645680771363667,0.20000000298023224,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTh1,2021,block_pca_fit_b16,0.9640528290401532,0.336852624829363,0.749409690027608,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTh1,2021,block_pca_fit_b32,0.9406296997930174,0.5072774834639071,0.8006502890845413,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTh1,2021,block_pca_fit_b48,0.9164065053430243,0.5947708583716136,0.8217017243777479,0.06666667014360428,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTh1,2021,block_pca_fit_b96,0.8631115591048165,0.6313049229241299,0.8515300109958414,0.12888889014720917,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTh1,2021,dct2,0.36313690810955723,0.7328793518551392,0.8714343266409473,0.9977777600288391,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
