dataset,checkpoint_seed,candidate_family,control_family,horizon,mse_log_effect,mse_reduction,mae_log_effect,mae_reduction
ETTh1,2021,block_dct2_b16,balanced_interval,48,0.006192135336204341,0.006173003575379088,-0.0029552045472910848,-0.002959575468844511
ETTh1,2021,block_dct2_b16,balanced_interval,96,-0.002528378059655251,-0.0025315771030236522,-0.004141996786891464,-0.004150586711301196
ETTh1,2021,block_dct2_b16,balanced_interval,144,0.001482534238709166,0.0014814358277024375,-0.0007110956187792701,-0.0007113485072078873
ETTh1,2021,block_dct2_b16,balanced_interval,192,-0.0007645774488652382,-0.0007648698127098452,-4.556235274738857e-05,-4.556339072725457e-05
ETTh1,2021,block_dct2_b16,balanced_interval,288,-0.00469712398601076,-0.004708172765269358,0.00013468879578071945,0.00013467972565206487
ETTh1,2021,block_dct2_b16,balanced_interval,336,-0.006495471375092518,-0.006516612698784563,0.0005497552685801868,0.0005496041808409347
ETTh1,2021,block_dct2_b16,balanced_interval,512,-0.02199863628544654,-0.02224239042266274,-0.008121820604142531,-0.008154892061957186
ETTh1,2021,block_dct2_b16,balanced_interval,720,-0.035543763940718516,-0.0361829945869363,-0.01653916093275565,-0.016676690013980755
ETTh1,2021,block_dct2_b16,dct2,48,0.018749534010147017,0.018574854918170347,0.006624751562772861,0.006602856273104085
ETTh1,2021,block_dct2_b16,dct2,96,-0.003235622319587371,-0.003240862595812244,-0.004014897964384015,-0.004022968464346244
ETTh1,2021,block_dct2_b16,dct2,144,-0.007821732946740632,-0.007852402611045584,-0.00520741411977855,-0.0052209962664055976
ETTh1,2021,block_dct2_b16,dct2,192,-0.009365604585538928,-0.00940959909797412,-0.004519327746211981,-0.0045295553092830065
ETTh1,2021,block_dct2_b16,dct2,288,-0.015974453124385377,-0.016102726824541946,-0.006288310043280641,-0.006308122973057495
ETTh1,2021,block_dct2_b16,dct2,336,-0.017983864028974134,-0.01814654747405564,-0.0065407213610901805,-0.00656215859188336
ETTh1,2021,block_dct2_b16,dct2,512,-0.031671513022212744,-0.03217839245041598,-0.01356255976594923,-0.013654948482994866
ETTh1,2021,block_dct2_b16,dct2,720,-0.04490780639442956,-0.045931427274089165,-0.02139001466356804,-0.021620420892302095
ETTh1,2021,block_dct2_b16,pca_fit,48,-0.007712408612154677,-0.00774222584038009,-0.011830748893560889,-0.011901009006452634
ETTh1,2021,block_dct2_b16,pca_fit,96,-0.02836984674051486,-0.028776103557320187,-0.021327696142161554,-0.02155675700197368
ETTh1,2021,block_dct2_b16,pca_fit,144,-0.032571570306897425,-0.033107830342562705,-0.02270431540378202,-0.02296402012101928
ETTh1,2021,block_dct2_b16,pca_fit,192,-0.035633228413206756,-0.036275700298820324,-0.022698682103666566,-0.022958257473917998
ETTh1,2021,block_dct2_b16,pca_fit,288,-0.04246205154430941,-0.04337646109699045,-0.024525665178647876,-0.02482889318630055
ETTh1,2021,block_dct2_b16,pca_fit,336,-0.0450819680386883,-0.04611360427490774,-0.02488345410022528,-0.025195631214284475
ETTh1,2021,block_dct2_b16,pca_fit,512,-0.05536331655677921,-0.05692454311327144,-0.028939993746944694,-0.029362824415726907
ETTh1,2021,block_dct2_b16,pca_fit,720,-0.06397177781373174,-0.06606231172781118,-0.0328734259787719,-0.03341972687230976
ETTh1,2021,block_dct2_b32,balanced_interval,48,0.0016622074232957344,0.001660826721646802,-0.0012664017435428383,-0.0012672039688417236
ETTh1,2021,block_dct2_b32,balanced_interval,96,-0.011707400395968705,-0.011776200234925094,-0.00591207832312066,-0.005929589149621162
ETTh1,2021,block_dct2_b32,balanced_interval,144,-0.00013708080610715104,-0.00013709020211027934,-0.0013502130276644038,-0.001351124975669693
ETTh1,2021,block_dct2_b32,balanced_interval,192,-0.005497791982771238,-0.005512932575006291,-0.0027101589514464744,-0.00271383475213538
ETTh1,2021,block_dct2_b32,balanced_interval,288,-0.005356692365537091,-0.00537106509405505,-0.0014413458450168411,-0.0014423850831799534
ETTh1,2021,block_dct2_b32,balanced_interval,336,-0.0050969214578803325,-0.005109932858690991,-0.00028779374323128885,-0.00028783515982366836
ETTh1,2021,block_dct2_b32,balanced_interval,512,-0.017183041598866973,-0.01733151927169274,-0.007591311655296607,-0.00762019871223929
ETTh1,2021,block_dct2_b32,balanced_interval,720,-0.026394608765537803,-0.026746031527545622,-0.013347806118965088,-0.013437285758792994
ETTh1,2021,block_dct2_b32,dct2,48,0.01421960609723836,0.014118984993887307,0.008313554366521269,0.008279092340187644
ETTh1,2021,block_dct2_b32,dct2,96,-0.012414644655900902,-0.012492026246958554,-0.005784979500613242,-0.005801744807919729
ETTh1,2021,block_dct2_b32,dct2,144,-0.009441347991556957,-0.009486058114673845,-0.0058465315286636765,-0.005863655850484761
ETTh1,2021,block_dct2_b32,dct2,192,-0.01409881911944497,-0.014198676206844674,-0.007183924344911163,-0.007209790632793922
ETTh1,2021,block_dct2_b32,dct2,288,-0.016634021503911824,-0.016773137119918013,-0.007864344684078147,-0.007895349867922619
ETTh1,2021,block_dct2_b32,dct2,336,-0.01658531411176202,-0.01672361395808286,-0.007378270372901654,-0.007405556877536412
ETTh1,2021,block_dct2_b32,dct2,512,-0.02685591833563322,-0.027219788563872527,-0.013032050817103215,-0.013117338077956786
ETTh1,2021,block_dct2_b32,dct2,720,-0.035758651219248816,-0.03640568105609021,-0.018198659849777435,-0.01836526458633836
ETTh1,2021,block_dct2_b32,pca_fit,48,-0.012242336525063218,-0.012317580668055328,-0.010141946089812542,-0.010193549931976742
ETTh1,2021,block_dct2_b32,pca_fit,96,-0.037548869076828396,-0.038262734783416796,-0.023097777678390705,-0.023366597065445527
ETTh1,2021,block_dct2_b32,pca_fit,144,-0.03419118535171378,-0.034782423059222856,-0.023343432812667167,-0.023618023205058236
ETTh1,2021,block_dct2_b32,pca_fit,192,-0.04036644294711274,-0.04119224184866743,-0.025363278702365762,-0.025687663335266286
ETTh1,2021,block_dct2_b32,pca_fit,288,-0.04312161992383575,-0.0440648662188412,-0.026101699819445434,-0.026445332470418137
ETTh1,2021,block_dct2_b32,pca_fit,336,-0.04368341812147615,-0.044651584772184005,-0.025721003112036716,-0.02605464248392586
ETTh1,2021,block_dct2_b32,pca_fit,512,-0.050547721870199784,-0.051847058266080825,-0.02840948479809873,-0.02881688305195862
ETTh1,2021,block_dct2_b32,pca_fit,720,-0.054822622638550964,-0.05635322490884187,-0.029682071164981304,-0.03012697481700366
ETTh1,2021,block_dct2_b48,balanced_interval,48,0.01557373838209923,0.015453094820884083,0.00676295596795232,0.006740138647726823
ETTh1,2021,block_dct2_b48,balanced_interval,96,0.006056816926530387,0.006038511387302603,0.002971813240735701,0.0029674017748664294
ETTh1,2021,block_dct2_b48,balanced_interval,144,0.001574101657578634,0.0015728634093591376,0.0001705833257392864,0.00017056877723098385
ETTh1,2021,block_dct2_b48,balanced_interval,192,0.00342226956507508,0.0034164202751052475,0.0018164732806967786,0.0018148244915852096
ETTh1,2021,block_dct2_b48,balanced_interval,288,0.00878486310074903,0.008746388936750171,0.00475793739821641,0.004746636344413413
ETTh1,2021,block_dct2_b48,balanced_interval,336,0.006254649295040278,0.006235129693428543,0.004365889310878599,0.004356372670710984
ETTh1,2021,block_dct2_b48,balanced_interval,512,-0.0069264019058637395,-0.006950444905982955,-0.0026542710585162436,-0.002657796754636621
ETTh1,2021,block_dct2_b48,balanced_interval,720,-0.01792093263453169,-0.018082476108147727,-0.009331082256939474,-0.009374752529598629
ETTh1,2021,block_dct2_b48,dct2,48,0.028131137056041707,0.027739140985823973,0.016342912078016424,0.016210091234558188
ETTh1,2021,block_dct2_b48,dct2,96,0.005349572666598182,0.005335289184266623,0.0030989120632433187,0.003094115391356178
ETTh1,2021,block_dct2_b48,dct2,144,-0.007730165527871241,-0.007760120393023762,-0.004325735175260046,-0.004335104672780199
ETTh1,2021,block_dct2_b48,dct2,192,-0.005178757571598761,-0.005192190515233452,-0.0026572921127677625,-0.002660825842811798
ETTh1,2021,block_dct2_b48,dct2,288,-0.0024924660376256565,-0.00249557481340279,-0.0016650614408448695,-0.0016664484253436918
ETTh1,2021,block_dct2_b48,dct2,336,-0.005233743358841179,-0.005247463318754253,-0.002724587318791764,-0.002728302380057279
ETTh1,2021,block_dct2_b48,dct2,512,-0.016599278642629903,-0.016737812125509288,-0.00809501022032287,-0.008127863404677305
ETTh1,2021,block_dct2_b48,dct2,720,-0.027284975088242687,-0.027660618714383745,-0.014181935987751831,-0.014282976728001051
ETTh1,2021,block_dct2_b48,pca_fit,48,0.0016691944337401952,0.0016678021035090307,-0.0021125883783173994,-0.0021148214653998743
ETTh1,2021,block_dct2_b48,pca_fit,96,-0.01978465175432926,-0.019981665112102753,-0.014213886114534292,-0.014315383715401753
ETTh1,2021,block_dct2_b48,pca_fit,144,-0.032480002888028,-0.03301323565608638,-0.021822636459263398,-0.022062491771161374
ETTh1,2021,block_dct2_b48,pca_fit,192,-0.03144638139926656,-0.031946042609383385,-0.020836646470222358,-0.02105524503530143
ETTh1,2021,block_dct2_b48,pca_fit,288,-0.02898006445754968,-0.029404072541986848,-0.019902416576212164,-0.020101790144331222
ETTh1,2021,block_dct2_b48,pca_fit,336,-0.032331847368555384,-0.03286020038032578,-0.021067320057926792,-0.02129080267933703
ETTh1,2021,block_dct2_b48,pca_fit,512,-0.04029108217719642,-0.04111377975620978,-0.02347244420131839,-0.02375009010656437
ETTh1,2021,block_dct2_b48,pca_fit,720,-0.04634894650754492,-0.04743984767100473,-0.025665347302955704,-0.025997538171745216
ETTh1,2021,block_dct2_b96,balanced_interval,48,0.00013536687841397062,0.00013535771673145458,-0.0014756024627024414,-0.0014766916997108748
ETTh1,2021,block_dct2_b96,balanced_interval,96,0.0014901714398298368,0.001489061685679527,0.002210159373100671,0.002207718769245748
ETTh1,2021,block_dct2_b96,balanced_interval,144,0.00958850001983886,0.00954267692871169,0.004955301757147328,0.004943044503882388
ETTh1,2021,block_dct2_b96,balanced_interval,192,0.008720491679454155,0.008682578479179526,0.004962143357742082,0.0049498522628529384
ETTh1,2021,block_dct2_b96,balanced_interval,288,0.0015275499776517306,0.0015263838670243057,0.0010702030601931222,0.0010696305971334974
ETTh1,2021,block_dct2_b96,balanced_interval,336,0.0006246697096920057,0.0006244746441881333,0.0007972492855829765,0.0007969315668105992
ETTh1,2021,block_dct2_b96,balanced_interval,512,-0.00996884907368894,-0.010018703575904064,-0.005165438836880831,-0.005178802716262032
ETTh1,2021,block_dct2_b96,balanced_interval,720,-0.020137509118134896,-0.020341636659154894,-0.011297392212911051,-0.011361448744968472
ETTh1,2021,block_dct2_b96,dct2,48,0.012692765552356773,0.01261255213902146,0.008104353647361728,0.008071601910282888
ETTh1,2021,block_dct2_b96,dct2,96,0.0007829271798976858,0.0007826207723833356,0.002337258195608137,0.0023345289344151032
ETTh1,2021,block_dct2_b96,dct2,144,0.0002842328343892222,0.0002841924440639687,0.0004589832561480328,0.0004588779394467668
ETTh1,2021,block_dct2_b96,dct2,192,0.00011946454278054784,0.00011945740717622666,0.0004883779642774864,0.0004882587271711758
ETTh1,2021,block_dct2_b96,dct2,288,-0.009749779160723001,-0.009797463100868375,-0.005352795778868277,-0.005367147586198051
ETTh1,2021,block_dct2_b96,dct2,336,-0.010863722944189719,-0.010922947454217624,-0.006293227344087216,-0.006313071304968387
ETTh1,2021,block_dct2_b96,dct2,512,-0.019641725810455164,-0.019835893687389694,-0.010606177998687462,-0.01066262288288633
ETTh1,2021,block_dct2_b96,dct2,720,-0.029501551571845926,-0.02994103349816246,-0.016148245943723324,-0.016279333528217865
ETTh1,2021,block_dct2_b96,pca_fit,48,-0.01376917706994499,-0.013864408773947456,-0.010351146808972185,-0.010404905256184982
ETTh1,2021,block_dct2_b96,pca_fit,96,-0.024351297241029798,-0.024650211464418703,-0.014975539982169318,-0.015088235235723113
ETTh1,2021,block_dct2_b96,pca_fit,144,-0.024465604525767737,-0.02476734314227169,-0.017037918027855366,-0.017183891201128842
ETTh1,2021,block_dct2_b96,pca_fit,192,-0.026148159284887354,-0.02649302167966905,-0.01769097639317719,-0.017848388604525756
ETTh1,2021,block_dct2_b96,pca_fit,288,-0.03623737758064698,-0.03690195455684031,-0.023590150914235525,-0.023870599456760067
ETTh1,2021,block_dct2_b96,pca_fit,336,-0.03796182695390385,-0.03869158210006396,-0.024635960083222323,-0.024941932825013113
ETTh1,2021,block_dct2_b96,pca_fit,512,-0.043333529345021736,-0.04428613684415916,-0.025983611979682908,-0.026324128914946288
ETTh1,2021,block_dct2_b96,pca_fit,720,-0.048565522991148094,-0.04976415325423922,-0.027631657258927276,-0.028016952092052128
ETTh1,2021,block_dct2_b144,balanced_interval,48,0.009241666431615773,0.00919909348167347,0.0024085885397153325,0.002405690217760492
ETTh1,2021,block_dct2_b144,balanced_interval,96,0.008236620427308675,0.008202792409172432,0.003171886394724832,0.0031668612775119787
ETTh1,2021,block_dct2_b144,balanced_interval,144,0.012547546619791046,0.012469154376031244,0.007243787321114073,0.0072176143290637595
ETTh1,2021,block_dct2_b144,balanced_interval,192,0.010501901681071587,0.010446949248196002,0.005689895679339039,0.005673738880941581
ETTh1,2021,block_dct2_b144,balanced_interval,288,0.005651762636067885,0.005635821471652203,0.0033464891924141252,0.003340895938450883
ETTh1,2021,block_dct2_b144,balanced_interval,336,0.0016153919677076576,0.0016140879243778938,0.001804985077984453,0.001803357072074685
ETTh1,2021,block_dct2_b144,balanced_interval,512,-0.009430210986950467,-0.009474815526398839,-0.004817087538310437,-0.004828708356493072
ETTh1,2021,block_dct2_b144,balanced_interval,720,-0.015624947521607466,-0.01574765528188027,-0.00902436899130657,-0.009065211375618443
ETTh1,2021,block_dct2_b144,dct2,48,0.02179906510555832,0.021563182600956132,0.011988544649779479,0.011916968365725533
ETTh1,2021,block_dct2_b144,dct2,96,0.007529376167376407,0.007501101422874301,0.0032989852172323614,0.0032935495445447494
ETTh1,2021,block_dct2_b144,dct2,144,0.00324327943434122,0.0032380256849238176,0.0027474688201148084,0.0027436979818667995
ETTh1,2021,block_dct2_b144,dct2,192,0.0019008745443980595,0.0018990690265834331,0.0012161302858745258,0.0012153910991179462
ETTh1,2021,block_dct2_b144,dct2,288,-0.005625566502306784,-0.005641419715369356,-0.0030765096466473015,-0.003081246959333983
ETTh1,2021,block_dct2_b144,dct2,336,-0.00987300068617398,-0.009921899551135205,-0.005285491551685848,-0.005299484404329702
