candidate_family,control_family,dataset,mse_reduction,mae_reduction,positive_checkpoints
block_dct2_b144,balanced_interval,ETTh1,0.00021498400619157643,-0.00352654452886747,2
block_dct2_b144,balanced_interval,ETTh2,0.008568150615479553,0.0027182877638270986,3
block_dct2_b144,balanced_interval,ETTm1,0.0045328429773046075,0.0014507102120152604,3
block_dct2_b144,balanced_interval,ETTm2,0.022828091410030504,0.011445260907843813,3
block_dct2_b144,balanced_interval,Weather,-0.0007763490384335991,-0.0005210116722005331,1
block_dct2_b144,dct2,ETTh1,-0.00330544802843713,-0.0048403283940638975,0
block_dct2_b144,dct2,ETTh2,-0.006676725076985024,-0.004809397504713431,0
block_dct2_b144,dct2,ETTm1,-0.013067204819960931,-0.009153590468387263,0
block_dct2_b144,dct2,ETTm2,0.016829607893381393,0.005030669909928731,3
block_dct2_b144,dct2,Weather,-0.0012193976615404445,0.0002727640601831727,1
block_dct2_b144,pca_fit,ETTh1,-0.02027518189523847,-0.01674503197817323,0
block_dct2_b144,pca_fit,ETTh2,-0.01806019874011988,-0.011508990781043726,0
block_dct2_b144,pca_fit,ETTm1,-0.009444748069940445,-0.010023909207604431,0
block_dct2_b144,pca_fit,ETTm2,0.0017002309567791807,0.00026624460629154356,2
block_dct2_b144,pca_fit,Weather,0.006638904320279249,0.007094182689813322,3
block_dct2_b16,balanced_interval,ETTh1,-0.006506470029294054,-0.005963908646193783,0
block_dct2_b16,balanced_interval,ETTh2,-0.02633427161756563,-0.014148358045314557,0
block_dct2_b16,balanced_interval,ETTm1,-0.0035160507523168683,-0.0014188715471932234,0
block_dct2_b16,balanced_interval,ETTm2,-0.011184769697865526,-0.010987904519845326,1
block_dct2_b16,balanced_interval,Weather,-0.0017358208852260582,-0.0016847944418361127,1
block_dct2_b16,dct2,ETTh1,-0.010050569574164614,-0.007280883428131268,0
block_dct2_b16,dct2,ETTh2,-0.042115828765885155,-0.02180335618807061,0
block_dct2_b16,dct2,ETTm1,-0.021258404514532758,-0.012053646344510005,0
block_dct2_b16,dct2,ETTm2,-0.017392045121973565,-0.01754806113523877,0
block_dct2_b16,dct2,Weather,-0.002179294271249077,-0.0008900954079831269,1
block_dct2_b16,pca_fit,ETTh1,-0.027134389253771207,-0.01921450114261547,0
block_dct2_b16,pca_fit,ETTh2,-0.053900046872035645,-0.0286162571341102,0
block_dct2_b16,pca_fit,ETTm1,-0.017606658230231442,-0.012926466162846983,0
block_dct2_b16,pca_fit,ETTm2,-0.03304803707060211,-0.02242060502531107,0
