candidate_family,control_family,primary_horizon_units,mse_reduction,mae_reduction,positive_datasets
block_dct2_b144,balanced_interval,120,0.00711057177244645,0.0023260500777607662,4
block_dct2_b144,dct2,120,-0.001437615731568087,-0.0026880671199518424,1
block_dct2_b144,pca_fit,120,-0.007832340598978416,-0.0061463925685751875,2
block_dct2_b16,balanced_interval,120,-0.009817028252411708,-0.006828129675155115,0
block_dct2_b16,dct2,120,-0.018510952325767827,-0.011888254017921263,0
block_dct2_b16,pca_fit,120,-0.02501469975072279,-0.015378311409433687,1
block_dct2_b32,balanced_interval,120,-0.0068697537792781205,-0.004132903131846888,1
block_dct2_b32,dct2,120,-0.015538303572169676,-0.009179481784897803,0
block_dct2_b32,pca_fit,120,-0.022023069015014052,-0.012660196474272745,1
block_dct2_b48,balanced_interval,120,0.00032806070484547867,-0.0010158380588463078,2
block_dct2_b48,dct2,120,-0.008278520185890148,-0.006046750942945156,1
block_dct2_b48,pca_fit,120,-0.01471692795590207,-0.009516660673978716,1
block_dct2_b96,balanced_interval,120,0.003244667840350157,0.002294677335713091,2
block_dct2_b96,dct2,120,-0.005336802797460072,-0.002719597535361107,2
block_dct2_b96,pca_fit,120,-0.011756426098982642,-0.006178031734094924,2
block_pca_fit_b144,balanced_interval,120,-0.002897692680106978,-0.0030076810478720795,2
block_pca_fit_b144,dct2,120,-0.011532045389126111,-0.008048604551359473,0
block_pca_fit_b144,pca_fit,120,-0.017991228690431127,-0.011525418783908004,0
block_pca_fit_b16,balanced_interval,120,-0.015500274095273214,-0.011571829683708623,0
block_pca_fit_b16,dct2,120,-0.024243127535500397,-0.01665579494944902,0
block_pca_fit_b16,pca_fit,120,-0.030783478022675226,-0.020162295847842016,1
block_pca_fit_b32,balanced_interval,120,-0.004751520924120012,-0.004773573493130234,1
block_pca_fit_b32,dct2,120,-0.013401833991845358,-0.009823372032073507,1
block_pca_fit_b32,pca_fit,120,-0.01987295691224067,-0.01330630753378359,1
block_pca_fit_b48,balanced_interval,120,-0.0011314783582798693,-0.0019846797472196087,2
block_pca_fit_b48,dct2,120,-0.009750625012358904,-0.00702046184312044,1
block_pca_fit_b48,pca_fit,120,-0.01619843297384871,-0.01049372995578457,1
block_pca_fit_b96,balanced_interval,120,0.00032219822526668995,-0.0010310942204787565,2
block_pca_fit_b96,dct2,120,-0.008284433137931924,-0.006062083779108995,2
block_pca_fit_b96,pca_fit,120,-0.014722878665364592,-0.00953204639392502,1
