control_family,horizon,unit_count,mse_log_effect,mse_reduction,mae_log_effect,mae_reduction
balanced_interval,all,120,0.0003222501422668568,0.00032219822526668995,-0.001030563007955119,-0.0010310942204787565
balanced_interval,144,15,0.008431986743718903,0.008396537250021208,0.002083169164103497,0.0020810008731206864
balanced_interval,192,15,0.003034052872403926,0.003029454785442809,0.0005459581136690217,0.0005458091056567138
balanced_interval,288,15,-0.0006705734651771669,-0.0006707983498277503,-0.0005587835860479553,-0.0005589397346790204
balanced_interval,336,15,-0.002349848910776512,-0.00235261196956138,-0.0009705910252372174,-0.0009710622011336323
balanced_interval,48,15,0.0022756686674617658,0.0022730812965581215,-0.0014922404041080091,-0.0014933543488420131
balanced_interval,512,15,-0.006516603272899908,-0.006537882529720651,-0.0032182973376852744,-0.0032234816165872537
balanced_interval,720,15,-0.009814703319604039,-0.009863025480068455,-0.006298894179660786,-0.006318773931836885
balanced_interval,96,15,0.008188021823007874,0.008154591277889756,0.0016651751913257704,0.0016637895563319516
dct2,all,120,-0.008250305577167875,-0.008284433137931924,-0.006043783271468063,-0.006062083779108995
dct2,144,15,-0.0033638259458027278,-0.0033694899574352455,-0.004785444643478647,-0.0047969131703990975
dct2,192,15,-0.005554492810489034,-0.005569947606948622,-0.005476504710594188,-0.0054915281753544765
dct2,288,15,-0.007498782354539028,-0.0075269686331469465,-0.0063223479770997135,-0.006342376205300093
dct2,336,15,-0.00864580191607397,-0.00868328480680236,-0.00658712872932125,-0.0066088715765295625
dct2,48,15,-0.012380478136815188,-0.012457433509779792,-0.004763106809900424,-0.00477446843485696
dct2,512,15,-0.011547105754420788,-0.011614030929364194,-0.0076850655010187695,-0.007714671409416063
dct2,720,15,-0.012728852707488112,-0.012810209379006565,-0.008854708430009734,-0.008894027327472909
dct2,96,15,-0.004283104991714148,-0.004292290595518944,-0.003875959370321751,-0.003883480615048729
pca_fit,all,120,-0.014615549269928037,-0.014722878665364592,-0.009486903085051521,-0.00953204639392502
pca_fit,144,15,-0.016337896809496624,-0.016472090061332878,-0.010686750621327656,-0.010744057901688864
pca_fit,192,15,-0.01645507167605918,-0.01659120202117803,-0.010139356604189286,-0.010190934053689427
pca_fit,288,15,-0.01424434949689903,-0.014346283663430492,-0.009973650888201215,-0.010023553510016825
pca_fit,336,15,-0.013778174440337073,-0.013873530928598221,-0.009374777467673848,-0.009418858335719538
pca_fit,48,15,-0.014286539293306063,-0.014389079629394619,-0.00831193415673916,-0.008346574190162714
pca_fit,512,15,-0.012961305559978903,-0.013045667366588631,-0.008549639906445998,-0.008586292458621525
pca_fit,720,15,-0.014896832494183417,-0.015008343334730334,-0.009520789238094034,-0.00956625613096529
pca_fit,96,15,-0.013964224389164058,-0.014062179595637714,-0.009338325797740969,-0.009382064003282897
