dataset,candidate_arm,reference_arm,dense_mse_improvement_pct,dense_mae_improvement_pct
ETTh1,geo_c256_e2e,a6_e2e,-35.61906312573093,-23.801310723010527
ETTh1,perm_c256_e2e,a6_e2e,-44.49398383047423,-30.136983028895294
ETTh1,random_c256_e2e,a6_e2e,-43.09282330484909,-29.31228706391298
ETTh1,geo_m694_e2e,a6_e2e,-34.55832695554759,-23.15627439616803
ETTh1,perm_m694_e2e,a6_e2e,-44.411387321117715,-30.08967269639653
ETTh1,random_m694_e2e,a6_e2e,-42.990177729862936,-29.26406475294112
ETTh2,geo_c256_e2e,a6_e2e,-21.560857685856828,-14.071828977245037
ETTh2,perm_c256_e2e,a6_e2e,-40.68446676373476,-25.53132973573171
ETTh2,random_c256_e2e,a6_e2e,-40.68463314837996,-25.587536318988647
ETTh2,geo_m694_e2e,a6_e2e,-20.83824573889237,-13.709158590802106
ETTh2,perm_m694_e2e,a6_e2e,-40.60809697420997,-25.469415253806083
ETTh2,random_m694_e2e,a6_e2e,-40.49241253900813,-25.448844637659064
ETTm1,geo_c256_e2e,a6_e2e,-46.208015078246525,-27.98635474826854
ETTm1,perm_c256_e2e,a6_e2e,-85.3049205269377,-48.9330177073007
ETTm1,random_c256_e2e,a6_e2e,-72.57554706944187,-42.18785973982933
ETTm1,geo_m694_e2e,a6_e2e,-44.7718728088653,-27.212733559023917
ETTm1,perm_m694_e2e,a6_e2e,-84.94987062370893,-48.726286844057086
ETTm1,random_m694_e2e,a6_e2e,-72.03830591956859,-41.825251813367714
ETTm2,geo_c256_e2e,a6_e2e,-14.262350147285673,-9.070680030949552
ETTm2,perm_c256_e2e,a6_e2e,-42.46772176724447,-25.06695312906451
ETTm2,random_c256_e2e,a6_e2e,-38.60089082534077,-22.237646679772816
ETTm2,geo_m694_e2e,a6_e2e,-14.237472701580511,-9.094442480550624
ETTm2,perm_m694_e2e,a6_e2e,-42.608828504745254,-25.239175202546924
ETTm2,random_m694_e2e,a6_e2e,-38.30646480661042,-22.031254249082544
Weather,geo_c256_e2e,a6_e2e,-22.868194430554944,-27.79015451301472
Weather,perm_c256_e2e,a6_e2e,-47.685530445958605,-60.0481672097118
Weather,random_c256_e2e,a6_e2e,-42.776916695537714,-54.245590516209184
Weather,geo_m694_e2e,a6_e2e,-22.247224284683178,-27.266554954342226
Weather,perm_m694_e2e,a6_e2e,-47.50078264294635,-59.90787632946457
Weather,random_m694_e2e,a6_e2e,-42.137344434985025,-53.70483117304834
