dataset,variant,total_parameters,trainable_parameters,decoder_parameters
ETTh1,learned-basis-forecast-operator,1720544,1720544,578512
ETTh1,plgo-paf-geo-c256,1604320,1604320,462288
ETTh1,plgo-paf-perm-c256,1604320,1604320,462288
ETTh1,plgo-paf-random-c256,1604320,1604320,462288
ETTh1,plgo-paf-geo-m694,1720390,1720390,578358
ETTh1,plgo-paf-perm-m694,1720390,1720390,578358
ETTh1,plgo-paf-random-m694,1720390,1720390,578358
ETTh2,learned-basis-forecast-operator,972896,972896,381904
ETTh2,plgo-paf-geo-c256,856672,856672,265680
ETTh2,plgo-paf-perm-c256,856672,856672,265680
ETTh2,plgo-paf-random-c256,856672,856672,265680
ETTh2,plgo-paf-geo-m694,972742,972742,381750
ETTh2,plgo-paf-perm-m694,972742,972742,381750
ETTh2,plgo-paf-random-m694,972742,972742,381750
ETTm1,learned-basis-forecast-operator,945088,945088,381904
ETTm1,plgo-paf-geo-c256,828864,828864,265680
ETTm1,plgo-paf-perm-c256,828864,828864,265680
ETTm1,plgo-paf-random-c256,828864,828864,265680
ETTm1,plgo-paf-geo-m694,944934,944934,381750
ETTm1,plgo-paf-perm-m694,944934,944934,381750
ETTm1,plgo-paf-random-m694,944934,944934,381750
ETTm2,learned-basis-forecast-operator,3218720,3218720,971728
ETTm2,plgo-paf-geo-c256,3102496,3102496,855504
ETTm2,plgo-paf-perm-c256,3102496,3102496,855504
ETTm2,plgo-paf-random-c256,3102496,3102496,855504
ETTm2,plgo-paf-geo-m694,3218566,3218566,971574
ETTm2,plgo-paf-perm-m694,3218566,3218566,971574
ETTm2,plgo-paf-random-m694,3218566,3218566,971574
Weather,learned-basis-forecast-operator,972896,972896,381904
Weather,plgo-paf-geo-c256,856672,856672,265680
Weather,plgo-paf-perm-c256,856672,856672,265680
Weather,plgo-paf-random-c256,856672,856672,265680
Weather,plgo-paf-geo-m694,972742,972742,381750
Weather,plgo-paf-perm-m694,972742,972742,381750
Weather,plgo-paf-random-m694,972742,972742,381750
