dataset,teacher,temperature,normalized_entropy,confidence_weight_mean,probability_max_mean,relative_error_dispersion_mean,confidence_dispersion_correlation
ETTh1,pcc_std,1.0,0.8134483208661638,0.18655167913383605,0.43463020570799993,0.12042344130941343,-0.4463666708712817
ETTh1,relative_regret,0.05,0.6620356436541006,0.3379643563458993,0.550281088286177,0.12042344130941343,0.4769103573536324
ETTh1,relative_regret,0.1,0.8354597237454386,0.1645402762545614,0.4062347366185184,0.12042344130941343,0.6598669902341955
ETTh1,relative_regret,0.25,0.9491037028209336,0.05089629717906645,0.2897127807098945,0.12042344130941343,0.9118128320359373
ETTh1,relative_regret,0.5,0.9814489292820742,0.01855107071792575,0.2462905282516169,0.12042344130941343,0.9827217666891412
ETTh1,relative_regret,1.0,0.9940166733250226,0.005983326674977411,0.22361691025487657,0.12042344130941343,0.974221543207532
ETTh2,pcc_std,1.0,0.8079832196425344,0.1920167803574655,0.44331184855267314,0.11765505018902729,-0.367923633746015
ETTh2,relative_regret,0.05,0.6549529671773293,0.3450470328226707,0.5548697634506348,0.11765505018902729,0.5908203648433323
ETTh2,relative_regret,0.1,0.8261015155218221,0.1738984844781778,0.4141437197926729,0.11765505018902729,0.7183413218714886
ETTh2,relative_regret,0.25,0.9461654276161512,0.05383457238384891,0.2942976058767338,0.11765505018902729,0.8799853218009852
ETTh2,relative_regret,0.5,0.9808800173177404,0.01911998268225957,0.24832727824900874,0.11765505018902729,0.9633204176396142
ETTh2,relative_regret,1.0,0.9938893543977685,0.006110645602231468,0.22445907035215382,0.11765505018902729,0.9690482439899007
ETTm1,pcc_std,1.0,0.7889525383256357,0.21104746167436433,0.4692272646788754,0.10838878860662825,-0.29669738630881665
ETTm1,relative_regret,0.05,0.631503892914377,0.36849610708562275,0.5771245400821851,0.10838878860662825,0.598386240065649
ETTm1,relative_regret,0.1,0.8155652124015016,0.18443478759849868,0.4297185037571671,0.10838878860662825,0.7280147054707043
ETTm1,relative_regret,0.25,0.9458908830217623,0.05410911697823763,0.30032526950273536,0.10838878860662825,0.8770751768867959
ETTm1,relative_regret,0.5,0.9819304683524189,0.018069531647581193,0.25061667811115135,0.10838878860662825,0.9497884332532672
ETTm1,relative_regret,1.0,0.9945677017454898,0.0054322982545098614,0.22525318046737675,0.10838878860662825,0.9613835501923613
ETTm2,pcc_std,1.0,0.8141117239052823,0.18588827609471797,0.43155059707690896,0.17502219447713555,-0.4310017059148761
ETTm2,relative_regret,0.05,0.6014585917962597,0.39854140820374045,0.591994338331054,0.17502219447713555,0.4676267386865482
ETTm2,relative_regret,0.1,0.7825920733535623,0.21740792664643743,0.4475233596664506,0.17502219447713555,0.5762672645087922
ETTm2,relative_regret,0.25,0.9228833959834714,0.07711660401652869,0.3142328904803491,0.17502219447713555,0.7837966173826526
ETTm2,relative_regret,0.5,0.9681671244985537,0.031832875501446464,0.2602646534012615,0.17502219447713555,0.9409707912691727
ETTm2,relative_regret,1.0,0.9880730491823472,0.011926950817653076,0.23135913468690988,0.17502219447713555,0.9859454757627405
Weather,pcc_std,1.0,0.7913674580502144,0.2086325419497857,0.4666372588791073,0.1850206883873681,-0.4812965275824623
Weather,relative_regret,0.05,0.5607122478433748,0.4392877521566251,0.6248231740882823,0.1850206883873681,0.4408222312867948
Weather,relative_regret,0.1,0.7463237087235215,0.2536762912764788,0.482795250896408,0.1850206883873681,0.5226818802122254
Weather,relative_regret,0.25,0.9088681211293075,0.091131878870693,0.33467529333245444,0.1850206883873681,0.6518022287090354
Weather,relative_regret,0.5,0.963846791442696,0.03615320855730315,0.27023905753619043,0.1850206883873681,0.7772846014781761
Weather,relative_regret,1.0,0.9869959490709276,0.013004050929072227,0.23582761473094663,0.1850206883873681,0.8402903627717068
