job_index,dataset,arm,readout_mode,objective_mode,correction_mode,mode_rank,profile,patch_num,d_model,d_ff,seed,checkpoint_score,formal_evaluation_split
1,Weather,a6_measure,learned-basis-forecast-operator,measure_only,none,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
2,Weather,siff_v1_equal,siff-coupling-field,equal_skill,none,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
3,Weather,siff_v1_relcal,siff-coupling-field,ccsf_relative_calibration,none,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
4,Weather,ccsf_equal,ccsf-coupling-field,equal_skill,true,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
5,Weather,ccsf_relcal,ccsf-coupling-field,ccsf_relative_calibration,true,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
6,Weather,ccsf_stdcal,ccsf-coupling-field,ccsf_standardized_calibration,true,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
7,Weather,ccsf_no_contrast_equal,ccsf-no-contrast-control,equal_skill,zero,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
8,Weather,ccsf_no_contrast_relcal,ccsf-no-contrast-control,ccsf_relative_calibration,zero,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
9,Weather,ccsf_permuted_contrast_relcal,ccsf-permuted-contrast-control,ccsf_relative_calibration,permuted,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
10,Weather,ccsf_independent_relcal,ccsf-independent-scope-control,ccsf_relative_calibration,true,116,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
11,ETTm1,a6_measure,learned-basis-forecast-operator,measure_only,none,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
12,ETTm1,siff_v1_equal,siff-coupling-field,equal_skill,none,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
13,ETTm1,siff_v1_relcal,siff-coupling-field,ccsf_relative_calibration,none,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
14,ETTm1,ccsf_equal,ccsf-coupling-field,equal_skill,true,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
15,ETTm1,ccsf_relcal,ccsf-coupling-field,ccsf_relative_calibration,true,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
16,ETTm1,ccsf_stdcal,ccsf-coupling-field,ccsf_standardized_calibration,true,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
17,ETTm1,ccsf_no_contrast_equal,ccsf-no-contrast-control,equal_skill,zero,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
18,ETTm1,ccsf_no_contrast_relcal,ccsf-no-contrast-control,ccsf_relative_calibration,zero,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
19,ETTm1,ccsf_permuted_contrast_relcal,ccsf-permuted-contrast-control,ccsf_relative_calibration,permuted,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
20,ETTm1,ccsf_independent_relcal,ccsf-independent-scope-control,ccsf_relative_calibration,true,116,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
21,ETTm2,a6_measure,learned-basis-forecast-operator,measure_only,none,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
22,ETTm2,siff_v1_equal,siff-coupling-field,equal_skill,none,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
23,ETTm2,siff_v1_relcal,siff-coupling-field,ccsf_relative_calibration,none,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
24,ETTm2,ccsf_equal,ccsf-coupling-field,equal_skill,true,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
25,ETTm2,ccsf_relcal,ccsf-coupling-field,ccsf_relative_calibration,true,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
26,ETTm2,ccsf_stdcal,ccsf-coupling-field,ccsf_standardized_calibration,true,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
27,ETTm2,ccsf_no_contrast_equal,ccsf-no-contrast-control,equal_skill,zero,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
28,ETTm2,ccsf_no_contrast_relcal,ccsf-no-contrast-control,ccsf_relative_calibration,zero,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
29,ETTm2,ccsf_permuted_contrast_relcal,ccsf-permuted-contrast-control,ccsf_relative_calibration,permuted,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
30,ETTm2,ccsf_independent_relcal,ccsf-independent-scope-control,ccsf_relative_calibration,true,106,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
31,ETTh1,a6_measure,learned-basis-forecast-operator,measure_only,none,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
32,ETTh1,siff_v1_equal,siff-coupling-field,equal_skill,none,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
33,ETTh1,siff_v1_relcal,siff-coupling-field,ccsf_relative_calibration,none,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
34,ETTh1,ccsf_equal,ccsf-coupling-field,equal_skill,true,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
35,ETTh1,ccsf_relcal,ccsf-coupling-field,ccsf_relative_calibration,true,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
36,ETTh1,ccsf_stdcal,ccsf-coupling-field,ccsf_standardized_calibration,true,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
37,ETTh1,ccsf_no_contrast_equal,ccsf-no-contrast-control,equal_skill,zero,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
38,ETTh1,ccsf_no_contrast_relcal,ccsf-no-contrast-control,ccsf_relative_calibration,zero,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
39,ETTh1,ccsf_permuted_contrast_relcal,ccsf-permuted-contrast-control,ccsf_relative_calibration,permuted,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
40,ETTh1,ccsf_independent_relcal,ccsf-independent-scope-control,ccsf_relative_calibration,true,109,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
41,ETTh2,a6_measure,learned-basis-forecast-operator,measure_only,none,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
42,ETTh2,siff_v1_equal,siff-coupling-field,equal_skill,none,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
43,ETTh2,siff_v1_relcal,siff-coupling-field,ccsf_relative_calibration,none,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
44,ETTh2,ccsf_equal,ccsf-coupling-field,equal_skill,true,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
45,ETTh2,ccsf_relcal,ccsf-coupling-field,ccsf_relative_calibration,true,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
46,ETTh2,ccsf_stdcal,ccsf-coupling-field,ccsf_standardized_calibration,true,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
47,ETTh2,ccsf_no_contrast_equal,ccsf-no-contrast-control,equal_skill,zero,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
48,ETTh2,ccsf_no_contrast_relcal,ccsf-no-contrast-control,ccsf_relative_calibration,zero,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
49,ETTh2,ccsf_permuted_contrast_relcal,ccsf-permuted-contrast-control,ccsf_relative_calibration,permuted,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
50,ETTh2,ccsf_independent_relcal,ccsf-independent-scope-control,ccsf_relative_calibration,true,116,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
