temperature,dataset,target_horizon,mse,mae,evaluation_split,checkpoint_policy,checkpoint_sha256,metrics_path
0.05,Weather,96,1.0,1.1,val,best-val,synthetic,synthetic
0.05,Weather,192,1.0,1.1,val,best-val,synthetic,synthetic
0.05,Weather,336,1.0,1.1,val,best-val,synthetic,synthetic
0.05,Weather,720,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTm1,96,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTm1,192,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTm1,336,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTm1,720,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTm2,96,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTm2,192,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTm2,336,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTm2,720,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTh1,96,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTh1,192,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTh1,336,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTh1,720,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTh2,96,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTh2,192,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTh2,336,1.0,1.1,val,best-val,synthetic,synthetic
0.05,ETTh2,720,1.0,1.1,val,best-val,synthetic,synthetic
0.1,Weather,96,0.9,1.0,val,best-val,synthetic,synthetic
0.1,Weather,192,0.9,1.0,val,best-val,synthetic,synthetic
0.1,Weather,336,0.9,1.0,val,best-val,synthetic,synthetic
0.1,Weather,720,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTm1,96,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTm1,192,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTm1,336,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTm1,720,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTm2,96,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTm2,192,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTm2,336,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTm2,720,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTh1,96,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTh1,192,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTh1,336,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTh1,720,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTh2,96,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTh2,192,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTh2,336,0.9,1.0,val,best-val,synthetic,synthetic
0.1,ETTh2,720,0.9,1.0,val,best-val,synthetic,synthetic
0.25,Weather,96,0.9,1.0,val,best-val,synthetic,synthetic
0.25,Weather,192,0.9,1.0,val,best-val,synthetic,synthetic
0.25,Weather,336,0.9,1.0,val,best-val,synthetic,synthetic
0.25,Weather,720,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTm1,96,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTm1,192,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTm1,336,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTm1,720,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTm2,96,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTm2,192,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTm2,336,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTm2,720,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTh1,96,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTh1,192,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTh1,336,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTh1,720,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTh2,96,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTh2,192,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTh2,336,0.9,1.0,val,best-val,synthetic,synthetic
0.25,ETTh2,720,0.9,1.0,val,best-val,synthetic,synthetic
