dataset,width,region_count,uniform_mse,base_policy_mse,learned_final_policy_mse,best_single_arm_oracle_mse,simplex_mixture_oracle_mse,best_arm_gain_over_uniform_pct,simplex_gain_over_uniform_pct,simplex_gain_over_best_arm_pct,simplex_gain_over_learned_final_pct,cross_term_share_of_uniform_to_simplex_gap,zero_simplex_loss_fraction
ETTh1,1,184320,0.33777989876844855,0.3370945766219615,0.3388136782754027,0.20681019668303133,0.2049178276925533,38.77368148990957,39.333918791589646,0.9150269284731579,39.519021565006874,0.01424310922714018,0.29743381076388886
ETTh1,48,3840,0.33777989876844855,0.3370945766219615,0.3388136782754027,0.3135515086563481,0.3066803830737635,7.172833611602575,9.207035648975689,2.1913865482673747,9.484060786802075,0.22093995450092843,0.0
ETTh1,144,1280,0.33777989876844866,0.33709457662196146,0.3388136782754027,0.3232779052034558,0.3162196131996794,4.293326399192905,6.38293920016509,2.1833511941789636,6.66858114782422,0.3273746992479794,0.0
ETTh1,360,512,0.3377798987684486,0.3370945766219615,0.33881367827540276,0.3298596598741216,0.32280831273755295,2.34479284386204,4.432349611531746,2.1376809577926292,4.723943147549062,0.4709819735876569,0.0
ETTh1,720,256,0.3377798987684486,0.3370945766219615,0.33881367827540276,0.3355626475914861,0.327538335445275,0.6564189239936029,3.032022734483173,2.3913007612157933,3.327888911545852,0.7835046167272576,0.0
ETTh2,1,184320,0.13098892144160804,0.1309481701984452,0.13102235660149109,0.07619678542302574,0.07553379981346713,41.82959552270794,42.335734211584885,0.8700965610004205,42.35044936399235,0.01195535398884027,0.32724609375
ETTh2,48,3840,0.13098892144160804,0.1309481701984452,0.13102235660149109,0.12000782110104821,0.1174997230909021,8.383228306414413,10.297968868091733,2.0899454611664465,10.320859631397507,0.18593380755016106,0.0
ETTh2,144,1280,0.13098892144160806,0.1309481701984452,0.13102235660149109,0.12267511026151254,0.1201681178506949,6.3469575049533,8.260854026297821,2.043603144495542,8.284264634172107,0.23168264627988483,0.0
ETTh2,360,512,0.13098892144160806,0.1309481701984452,0.13102235660149109,0.12457681442069767,0.12222370760132742,4.895152162748948,6.691568831787031,1.8888802304927872,6.71537990033644,0.2684597161288314,0.0
ETTh2,720,256,0.13098892144160804,0.13094817019844518,0.13102235660149106,0.12640925764738611,0.12405635361754651,3.49622223301032,5.292484087787465,1.8613383810883088,5.3166521841244885,0.3393986311497965,0.0
ETTm1,1,184320,0.33780011342897126,0.33769735774716253,0.3387769331502361,0.2595862192758559,0.25928729041288245,23.15389813199731,23.242390956922392,0.11515590612141942,23.463711651850478,0.0038073890542974134,0.1894259982638889
ETTm1,48,3840,0.33780011342897126,0.3376973577471624,0.33877693315023605,0.3063283906366067,0.3051678819625013,9.31667028554212,9.660219215210985,0.37884463522747347,9.920702355738694,0.03556326435407518,0.0
ETTm1,144,1280,0.3378001134289712,0.3376973577471625,0.33877693315023605,0.316242745914575,0.315054141765463,6.381693391269102,6.733559510272631,0.3758518304268422,7.002481297701817,0.05225558910806775,0.0
ETTm1,360,512,0.3378001134289712,0.3376973577471625,0.33877693315023605,0.3215547402972534,0.3207390049481119,4.809167459067092,5.050652087612963,0.25368475314261923,5.324426322179652,0.04781256446828435,0.0
ETTm1,720,256,0.3378001134289712,0.3376973577471625,0.33877693315023605,0.3290638429169709,0.3279133979355344,2.5862248604120985,2.9267946043824073,0.34961148306006373,3.2066927088816928,0.11636270733189139,0.0
ETTm2,1,184320,0.09771513313549915,0.09751041879338533,0.09797822808661408,0.05997324369376175,0.0593938983137381,38.62440568893424,39.21729786585047,0.9660064127628889,39.38051394312511,0.015118129223087222,0.34091254340277777
ETTm2,48,3840,0.09771513313549914,0.09751041879338535,0.09797822808661408,0.0892514199433612,0.08754159171132017,8.661619669904685,10.411428708869044,1.9157434504975674,10.65199542705322,0.16806617880154848,0.0
ETTm2,144,1280,0.09771513313549915,0.09751041879338536,0.09797822808661408,0.09311544090171417,0.09114121128747338,4.7072465504464915,6.727639452642281,2.1201957431793113,6.978098025100723,0.30031230365686146,0.0
ETTm2,360,512,0.09771513313549914,0.09751041879338536,0.09797822808661408,0.09509396345406373,0.0929513106148426,2.6824603286378275,4.875214685580644,2.253195430492458,5.1306474611151485,0.44977595826257594,0.0
ETTm2,720,256,0.09771513313549914,0.09751041879338536,0.09797822808661408,0.09647115200133163,0.09442372763239379,1.2730690674519207,3.3683682327293525,2.122317735886043,3.627847251001582,0.6220516940274173,0.0
Weather,1,184320,0.41526852945020026,0.41699018662340265,0.4184873440752776,0.3607418913613065,0.3603263496274839,13.130452760551092,13.230518550360108,0.11519087296862923,13.897910001629988,0.007563255319746584,0.16227213541666666
Weather,48,3840,0.41526852945020026,0.4169901866234026,0.4184873440752776,0.37811467581326746,0.3772862347300501,8.946946614549166,9.146441886756337,0.21909783888592504,9.845246201236677,0.021811243615512513,0.0
Weather,144,1280,0.4152685294502003,0.4169901866234027,0.4184873440752776,0.3831195796500294,0.3823961106150887,7.741725539071043,7.915942698242372,0.18883635119916484,8.624211453739157,0.022008390638048932,0.0
Weather,360,512,0.4152685294502002,0.4169901866234026,0.4184873440752776,0.3890198376170554,0.3884217435015678,6.320895991780811,6.464921862529906,0.1537438602491955,7.184351211419579,0.022278052822858656,0.0
Weather,720,256,0.4152685294502002,0.41699018662340265,0.4184873440752776,0.39264019863650745,0.3919563802442688,5.449083956266035,5.61375292194566,0.17415903787062015,6.339729075829921,0.02933313381782264,0.0
