comparison,dataset,fold,expected_arm_mse_gain_percent,mixture_mse_gain_percent,accuracy_gain_points
posthoc_contrast_over_base_features,ETTh1,0,0.9535377344314311,-0.27025596366592186,-0.041015625
posthoc_contrast_over_shuffled,ETTh1,0,0.9590341862664609,0.0947913453976379,-0.0107421875
posthoc_contrast_over_final_policy,ETTh1,0,5.876213901445404,1.8783078759903038,0.138671875
final_policy_over_base_policy,ETTh1,0,-0.555834251513021,-0.399228492097059,-0.03515625
posthoc_contrast_over_base_features,ETTh1,1,0.6354221643871893,-0.12277630113621818,-0.017578125
posthoc_contrast_over_shuffled,ETTh1,1,0.6548336825894729,0.1495853803382019,0.0458984375
posthoc_contrast_over_final_policy,ETTh1,1,5.43826878481174,1.2822398500451526,0.1005859375
final_policy_over_base_policy,ETTh1,1,-0.4945883686872099,-0.36975684424584987,-0.0107421875
posthoc_contrast_over_base_features,ETTh2,0,0.6668202289429548,0.2890931591095436,0.02734375
posthoc_contrast_over_shuffled,ETTh2,0,0.9940774723493306,0.6838943989920909,0.0751953125
posthoc_contrast_over_final_policy,ETTh2,0,7.427163775353107,2.7709240320209605,0.2451171875
final_policy_over_base_policy,ETTh2,0,-0.12039351320702885,-0.04918832199507506,-0.005859375
posthoc_contrast_over_base_features,ETTh2,1,0.856078223877843,0.17787432721394492,0.0166015625
posthoc_contrast_over_shuffled,ETTh2,1,0.8740686344117732,0.3160912881187916,0.005859375
posthoc_contrast_over_final_policy,ETTh2,1,7.922488374191817,2.812856953964782,0.271484375
final_policy_over_base_policy,ETTh2,1,-0.1644940356586133,-0.07948266837851659,-0.033203125
posthoc_contrast_over_base_features,ETTm1,0,1.975182506986084,1.371412076557188,-0.0009765625
posthoc_contrast_over_shuffled,ETTm1,0,1.2901529873824646,0.7807589456977015,0.0419921875
posthoc_contrast_over_final_policy,ETTm1,0,5.7114950814779135,4.241684387480593,0.140625
final_policy_over_base_policy,ETTm1,0,-0.015805771529198154,0.28935645918362063,0.015625
posthoc_contrast_over_base_features,ETTm1,1,-0.9834774515695477,-1.43962874372896,-0.044921875
posthoc_contrast_over_shuffled,ETTm1,1,-0.5343944762789432,-0.9152683044998611,0.0048828125
posthoc_contrast_over_final_policy,ETTm1,1,0.5314210491736526,-0.8844761156008074,0.0830078125
final_policy_over_base_policy,ETTm1,1,-0.1023780518129902,0.41045533986142635,0.0224609375
posthoc_contrast_over_base_features,ETTm2,0,2.142446624392269,-0.25184228938543995,0.07421875
posthoc_contrast_over_shuffled,ETTm2,0,1.473660638423957,-0.11410699422647053,0.099609375
posthoc_contrast_over_final_policy,ETTm2,0,8.314800408097323,2.0345728023419385,0.28125
final_policy_over_base_policy,ETTm2,0,-0.9530803873518234,-0.4467894212448753,-0.0458984375
posthoc_contrast_over_base_features,ETTm2,1,0.9117512577010212,0.4794529348227994,0.037109375
posthoc_contrast_over_shuffled,ETTm2,1,0.7370971704073304,0.7335557022282058,0.0947265625
posthoc_contrast_over_final_policy,ETTm2,1,8.38879667328828,2.278997149433537,0.2001953125
final_policy_over_base_policy,ETTm2,1,-0.9066860445115399,-0.3678049621638868,-0.013671875
posthoc_contrast_over_base_features,Weather,0,4.356162314181478,3.8416043163828073,0.2109375
posthoc_contrast_over_shuffled,Weather,0,4.314938312597794,3.8617240788532348,0.2392578125
posthoc_contrast_over_final_policy,Weather,0,5.96541793226073,5.539202626606466,0.220703125
final_policy_over_base_policy,Weather,0,0.27148070873057595,0.24030230320571944,0.109375
posthoc_contrast_over_base_features,Weather,1,3.9481891961522297,3.4368908234645557,0.205078125
posthoc_contrast_over_shuffled,Weather,1,3.6792301107699044,3.2364536874783023,0.2333984375
posthoc_contrast_over_final_policy,Weather,1,5.639422007884698,5.112208050943168,0.2490234375
final_policy_over_base_policy,Weather,1,0.5349819232637554,0.6775241406353993,0.0947265625
