length,horizon,active_atoms,inactive_atoms,active_to_horizon_ratio,active_atom_upper_bound,prefix_max_abs,operator_prefix_max_abs
1,1,1,0,1.0,2,0.0,8.881784197001252e-16
2,1,2,0,2.0,3,1.7763568394002505e-15,0.0
2,2,2,0,1.0,5,2.6645352591003757e-15,1.7763568394002505e-15
3,1,2,1,2.0,4,8.881784197001252e-16,8.881784197001252e-16
3,2,3,0,1.5,6,1.0658141036401503e-14,3.552713678800501e-15
3,3,3,0,1.0,8,1.0658141036401503e-14,3.552713678800501e-15
5,1,3,2,3.0,5,8.881784197001252e-16,1.7763568394002505e-15
5,2,3,2,1.5,7,8.881784197001252e-16,1.7763568394002505e-15
5,3,4,1,1.3333333333333333,9,8.881784197001252e-16,5.995204332975845e-15
5,4,5,0,1.25,11,6.661338147750939e-16,7.105427357601002e-15
5,5,5,0,1.0,13,5.995204332975845e-15,7.105427357601002e-15
7,1,3,4,3.0,5,0.0,2.6645352591003757e-15
7,2,4,3,2.0,7,1.7763568394002505e-15,2.6645352591003757e-15
7,3,4,3,1.3333333333333333,9,1.7763568394002505e-15,2.6645352591003757e-15
7,4,6,1,1.5,11,3.552713678800501e-15,2.6645352591003757e-15
7,5,6,1,1.2,13,3.552713678800501e-15,3.552713678800501e-15
7,6,7,0,1.1666666666666667,15,1.7763568394002505e-15,3.552713678800501e-15
7,7,7,0,1.0,17,1.7763568394002505e-15,3.552713678800501e-15
16,1,5,11,5.0,6,2.220446049250313e-16,0.0
16,2,5,11,2.5,8,8.881784197001252e-16,8.881784197001252e-16
16,3,6,10,2.0,10,4.440892098500626e-16,1.2212453270876722e-15
16,4,6,10,1.5,12,4.440892098500626e-16,1.2212453270876722e-15
16,5,8,8,1.6,14,8.881784197001252e-16,1.7763568394002505e-15
16,6,8,8,1.3333333333333333,16,8.881784197001252e-16,2.1094237467877974e-15
16,7,9,7,1.2857142857142858,18,8.881784197001252e-16,3.1086244689504383e-15
16,8,9,7,1.125,20,8.881784197001252e-16,3.1086244689504383e-15
16,9,12,4,1.3333333333333333,22,8.881784197001252e-16,3.1086244689504383e-15
16,10,12,4,1.2,24,8.881784197001252e-16,3.1086244689504383e-15
16,11,13,3,1.1818181818181819,26,8.881784197001252e-16,3.1086244689504383e-15
16,12,13,3,1.0833333333333333,28,8.881784197001252e-16,3.1086244689504383e-15
16,13,15,1,1.1538461538461537,30,8.881784197001252e-16,3.1086244689504383e-15
16,14,15,1,1.0714285714285714,32,8.881784197001252e-16,3.1086244689504383e-15
16,15,16,0,1.0666666666666667,34,8.881784197001252e-16,3.1086244689504383e-15
16,16,16,0,1.0,36,1.7763568394002505e-15,3.1086244689504383e-15
96,1,7,89,7.0,9,4.440892098500626e-16,1.3322676295501878e-15
96,12,15,81,1.25,31,2.55351295663786e-15,1.7763568394002505e-15
96,24,26,70,1.0833333333333333,55,3.552713678800501e-15,3.552713678800501e-15
96,48,49,47,1.0208333333333333,103,5.329070518200751e-15,3.552713678800501e-15
96,96,96,0,1.0,199,3.552713678800501e-15,4.440892098500626e-15
720,1,10,710,10.0,12,2.6645352591003757e-15,2.6645352591003757e-15
720,48,55,665,1.1458333333333333,106,7.105427357601002e-15,7.105427357601002e-15
720,90,93,627,1.0333333333333334,190,7.105427357601002e-15,7.105427357601002e-15
720,96,103,617,1.0729166666666667,202,8.881784197001252e-15,7.105427357601002e-15
720,180,182,538,1.011111111111111,370,8.881784197001252e-15,7.105427357601002e-15
720,192,199,521,1.0364583333333333,394,8.881784197001252e-15,7.105427357601002e-15
720,336,339,381,1.0089285714285714,682,8.881784197001252e-15,7.105427357601002e-15
720,360,361,359,1.0027777777777778,730,8.881784197001252e-15,7.105427357601002e-15
720,720,720,0,1.0,1450,8.881784197001252e-15,1.4210854715202004e-14
721,1,10,711,10.0,12,1.7763568394002505e-15,1.7763568394002505e-15
721,90,93,628,1.0333333333333334,190,1.0658141036401503e-14,1.0658141036401503e-14
721,180,182,539,1.011111111111111,370,1.4210854715202004e-14,1.4210854715202004e-14
721,360,361,360,1.0027777777777778,730,1.4210854715202004e-14,1.4210854715202004e-14
721,721,721,0,1.0,1452,1.4210854715202004e-14,1.4210854715202004e-14
