start,end,baseline_horizon,mse_gain,mae_gain
1,96,96,0.855303669954971,0.6238893166571934
1,96,192,0.83210353573018,0.5846111161610834
1,96,336,0.8902358788469253,0.632332798762042
1,96,720,0.834575949159618,0.6113105175533065
97,192,192,0.6250177858747137,0.39415645618759865
97,192,336,0.7436003309844955,0.47862728857890424
97,192,720,0.6083292558856617,0.35446015766314254
193,336,336,0.7524866489250972,0.4958259288886421
193,336,720,0.6225924152284168,0.41785574366488387
337,720,720,0.5412550044484381,0.33376644836650415
529,720,720,0.5217654196427128,0.3397538515398333
