start,end,baseline_horizon,mse_gain,mae_gain
1,96,96,0.9607183327732922,0.8063045155802424
1,96,192,0.9424121394043087,0.7660291092068173
1,96,336,0.9727387296946204,0.842866398838329
1,96,720,0.9312354277686808,0.7305004862616922
97,192,192,0.6715212564656323,0.44317075393772554
97,192,336,0.9033294733743116,0.7242150679074135
97,192,720,0.7523660246507513,0.533192110273146
193,336,336,0.8615445287573018,0.6724610877405244
193,336,720,0.7085266794709286,0.5017798323095501
337,720,720,0.7915812688763736,0.5391794706541677
529,720,720,0.801667778888892,0.5502120541303898
