origin,channel,eligible,score,mean_nchpd,disagreement_percentile,min_gain,uvhf_corr720,target_std_scaled,uvhf_common96_mse,dlinear_mse_h96,uvhf_mse_h96,relative_gain_h96,dlinear_common96_mse_h96,dlinear_mse_h192,uvhf_mse_h192,relative_gain_h192,dlinear_common96_mse_h192,dlinear_mse_h336,uvhf_mse_h336,relative_gain_h336,dlinear_common96_mse_h336,dlinear_mse_h720,uvhf_mse_h720,relative_gain_h720,dlinear_common96_mse_h720
0,0,False,-0.4176876718899576,0.023917236594512822,0.24248033317908377,-2.1849191780252126,0.16547914928064403,0.5999271948295417,0.254940628027623,0.12385235599527879,0.254940628027623,-1.0584237254020525,0.12385235599527879,0.22408757653987368,0.18258530415347166,0.1852055925064512,0.12488004308505356,0.16490305049375192,0.27323567083289063,-0.6569473397536898,0.1268391691654672,0.28436259136541,0.905671870752641,-2.1849191780252126,0.13244313211151795
1,0,False,-0.4264505700031281,0.022944011832661333,0.17167977788061084,-2.087709979550739,0.14022534921788232,0.6003978114769594,0.23402706718236418,0.11392828218575934,0.23402706718236418,-1.0541612907037825,0.11392828218575934,0.21214411508617573,0.1696734761454329,0.2001971109285341,0.11572671298033858,0.15639515613005298,0.248168519936219,-0.5868043875339104,0.11768618758529455,0.2789203547310333,0.8612251628028438,-2.087709979550739,0.11709220352535588
2,0,False,-0.386215910084934,0.02244299113573063,0.13789912077741787,-1.9017719700888915,0.15366120553024484,0.6000592193221356,0.22009083415701172,0.11661754061400552,0.22009083415701172,-0.8872875641023361,0.11661754061400552,0.2187752689995387,0.16241757081901353,0.25760543428080074,0.11682915189150804,0.16268312102965224,0.23196642969321568,-0.42587890018986774,0.11930649613575212,0.2828406081023573,0.8207389485943174,-1.9017719700888915,0.11976136974097955
3,0,False,-0.38713594318755373,0.023244145507406857,0.1883387320684868,-2.003314661404639,0.1968908919959454,0.5989139229005208,0.26614851345035717,0.13690684672512432,0.26614851345035717,-0.9440117117350508,0.13690684672512432,0.20075317792366074,0.18345473447570568,0.08616771912090493,0.13981919159884496,0.1528106118445475,0.26160746031252585,-0.7119718137026776,0.13965694715436167,0.29115130804322337,0.8744189921333512,-2.003314661404639,0.1444736588312797
4,0,False,-0.3857699674980358,0.024547084870319518,0.28968070337806573,-2.1801330016596427,0.23429581310824144,0.5975811003980526,0.2970592714874049,0.1282104746470326,0.2970592714874049,-1.3169656949263953,0.1282104746470326,0.2044045098019942,0.20107459591039056,0.016290804419282656,0.13052059628717375,0.1565820526369079,0.2947705844334362,-0.8825311041040469,0.13046057398208344,0.2896357611239321,0.9210802424110254,-2.1801330016596427,0.129144073697169
5,0,False,-0.16130704560613518,0.026935286435579502,0.4312818139750116,-1.6780767085368695,0.26475059967419806,0.5969727441914576,0.2185880702087276,0.13087207044626026,0.2185880702087276,-0.6702423172749146,0.13087207044626026,0.19928830737161177,0.16363213796373252,0.1789175184341919,0.13246849098754043,0.15153400442758663,0.2255826946318114,-0.48866055169557887,0.13243800128489416,0.2931945410580781,0.7851974714777958,-1.6780767085368695,0.13308210653713723
6,0,False,-0.2968221860725888,0.021889026653731155,0.1050439611291069,-1.5735774245558147,0.22729060729602132,0.5962792481649919,0.18867341599392615,0.1368791992681774,0.18867341599392615,-0.378393627393101,0.1368791992681774,0.20365924717519004,0.1511829804173936,0.2576669976230236,0.13947564030810386,0.15529468333492322,0.20021396212376555,-0.2892518779407609,0.1389547265826132,0.2868012960492735,0.7381053408457591,-1.5735774245558147,0.14113995229751108
7,0,False,-0.28020651622069465,0.023412563191312883,0.2003701989819528,-1.677135176557718,0.2274893725564433,0.5954823364441418,0.22493076460857156,0.13292753574576963,0.22493076460857156,-0.6921307037449531,0.13292753574576963,0.20068996249019655,0.16998406324398854,0.15300166916772406,0.1359906208685238,0.15300398619281483,0.21214570552629491,-0.38653711452295103,0.1356886797615309,0.28351893868908157,0.7590185239848513,-1.677135176557718,0.1364317498928808
8,0,False,-0.21782481052526403,0.024965330540749526,0.3155946321147617,-1.6469030518665244,0.18448788977312405,0.5951410489133334,0.20838009519906853,0.12718022873188362,0.20838009519906853,-0.6384629692589034,0.12718022873188362,0.20956607770708738,0.1627307529323476,0.2234871468091415,0.1290793288811115,0.16016759492426225,0.20864444817464084,-0.3026633026068828,0.12871071334710882,0.28483930844429656,0.7539420348127588,-1.6469030518665244,0.13075076229011884
9,0,False,-0.2237578523320774,0.024845393869789345,0.3068024062933827,-1.6710355658435487,0.2415161427429582,0.5940314465592981,0.24686543085127544,0.12467967164770084,0.24686543085127544,-0.9799974413537667,0.12467967164770084,0.192941342692612,0.18206066825393596,0.05639369088464774,0.13000856253672854,0.1530949596725263,0.23238843338085002,-0.5179365400267542,0.12811028554519377,0.29291390451378163,0.782383456686412,-1.6710355658435487,0.12644593899751858
